Unnamed: 0,Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Review1,Review2,Review3,Qtd_Vendidos,Preço,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Marca_Cod,Material_Cod,Temporada_Cod,Qtd_Vendidos_Cod,Marca_Freq,Material_Freq
0,Pijama Cirurgico  Scrub Roupa Privativa Hospitalar - Unissex,4.0,273.0,,toronto uniformes profissionais,poliéster,Sem gênero,não definido,"Preço justo , bem feito acabamento ok. Única sugestão é por na calça bolso cargo com zíper e incorporar a cor bege nas opções ! já comprei mais um. Muito satisfeito ! compre sem hesitar.","Tamanho bom, costuras de qualidade, porém tecido um pouco de qualidade inferior, mas vale o preço !.","Muito bom, só poderia ter os cortes na lateral da blusa para melhor conforto (mandei cortar na costureira), porém, material muito bom! comprarei mais.",+1000,69.9,0.6296296296296297,0.029969149405024244,,0.10064458920227824,781,122,1,1000.0,0.002273760800363802,0.11732605729877217
1,Kit 10 Cuecas Boxer Lupo Cueca Box Algodão Masculina Atacado,4.5,3034.0,18.0,lupo,algodão,Masculino,outono/inverno,"As cuecas são boas; porém você percebe na costura que não são originais! já experimentei duas brancas, e o mesmo acontece com as duas, quando eu subo a cueca, ela dá um estralinho como se tivesse rasgado e quando olhei, soltou um pouco da costura de lado! tem que vestir com muito cuidado! fora isso, é uma replica muito bem feita da original! aaah. Não gostei muito do elastico de cima! é muito curtinho, queria q fosse maior. Mas resumindo: cueca bem confortavel, nao dobra e nem sobe.","Pelo preço promocional, com ctz tem algum defeito de fabricação. Pq não é normal furar a cueca na imenda na primeira vez que vc usa. Infelizmente isso aconteceu comigo e não foi só com uma cueca e sim com 3 unidades. Agora eu não sei o que é pior, perder 16 reais do valor da cueca usando ela apenas algumas horas ou ficar com a cueca furada no trabalho.","Serviram muito bem, porém é nítido que o pano não é algodão, e posso confirmar a diferença pois possuo o mesmo modelo de cuecas lupo que comprei em outra ocasião e comparando ambos os panos e costuras essa diferença fica notável.
Pelo custo beneficio e mesmo sendo um material diferente, aparenta valer a pena, porém, só o tempo (e algumas lavagens rs) irá dizer se é de qualidade.",+10mil,232.89,0.8148148148148148,0.33417805200528866,0.21311475409836064,0.37858531427986764,463,25,3,10000.0,0.04229195088676671,0.17644383810823103
2,Kit Com 10 Cuecas Boxer Algodão Sem Costura Zorba 781,4.7,5682.0,20.0,zorba,algodão,Masculino,não definido,"O tecido é bom e são confortáveis. Só que a numeração não é precisa, visto 40 então tentei comprar a p conforme especificado no guia de tamanho. Porém, para minha sorte não tinha mais p disponível e eu comprei m. O resultado é que caiu perfeitamente. Então uma dica é comprar um tamanho maior. Antes deixar o bicho solto do quê sem ar.","Vendo comentários de outros consumidores vejo que quanto ao tamanho realmente há problemas; tenho 1. 85 e peso 88 kg, pedi o tamanho maior disponível, gg, e ficou um pouco apertado mesmo assim. Já comprei em lojas exatamente a mesma medida e dá pra notar a diferença. Mas no geral o produto é bom, só atentem para o tamanho.","Produto não é nem de longe original, tecido grosso e com pouco elastano.",+50mil,199.9,0.888888888888889,0.625936535918907,0.24590163934426232,0.3223287063879131,838,25,1,50000.0,0.009095043201455207,0.17644383810823103
3,Kit 10 Cuecas Boxer Mash Algodão Cotton Box Original Oferta,4.6,1700.0,22.0,mash,algodão,Masculino,primavera/verão,"As cuecas são boas, porém meu marido usa g e pedir gg por causa dos outros comentários de compradores que falaram ser forma pequena. Então ficaram muito grandes!!! com certeza logo vão lacear por esse motivo. Tentar lavar a mão para evitar que fique caindo tão rápido. Recomendo a compra, porém podem pedir o tamanho correto que usam. Sem essa presepada de pedir tamanho maior. Sobre qualidade somente depois de lavar para saber ao certo!!! na próxima, pedirei o número que ele realmente usa.","E o tamanho certo, mas em baixo dela, fica muito curto, apertado demais. Aperta todos os ovos, na moral me arrependo de ter comprado. Nesse valor ainda, melhor ter comprado da lupo.","Produto não parece.
Original e veio 2 modelos completamente distintos. Costuras grosseiras, elastico parece esgarçado e com rebarbas.",+10mil,229.39,0.8518518518518517,0.18719700308505952,0.2786885245901639,0.3726168957402544,494,25,7,10000.0,0.010914051841746248,0.17644383810823103
4,Kit 3 Short Jeans Feminino Cintura Alta Barato Atacado,4.4,507.0,9.0,menina linda,jean,Feminino,primavera/verão,"Estou encantada com essas peças!.
Os shorts são lindos e super confortáveis, comprem sem medo!.","Recomendo, tecido confortável, igual a foto.","Gostei muito dos shorts, material bom, para usar no dia a dia está ótimo.",+1000,129.2,0.777777777777778,0.05575143234905245,0.06557377049180327,0.20176665188772552,509,74,7,1000.0,0.010004547521600727,0.02546612096407458
5,Blusa + Calça Térmica Treino Futebol Criança Infantil Fleece,4.7,58.0,5.0,roupa zero grau,termico unissex,Sem gênero infantil,outono/inverno,"Produto ótimo , mesmo após várias lavagens não forma bolinha, não encolhe , não desbota.
Já tinha comprado ano passado e comprei novamente esse ano.
Minha filha tem 5 anos é magrinha, comprei o tamanho 8 e ficou folgadinho, vai usar bastante.
Meu filho de 10 anos comprei o 14 e também ficou bem folgadinho.
Podem comprar sem medo de errar. 😊.","Produto de boa qualidade.
Não gruda pêlos e nem faz bolinha.
Super quentinha.",Super quentinho. Só achei a gola muito aberta.,+100,78.03,0.888888888888889,0.00628029969149405,0.0,0.11450837283857987,669,166,3,100.0,0.002273760800363802,0.0009095043201455207
6,Calça Jeans Levis 511 Original Slim Fit Elastano,4.9,14.0,,levi's,algodao/elastano,Masculino,outono/inverno,Excelente calça! melhor calça que já comprei!.,"Ótimo produto, perfeito, tudo dentro do descrito. Muito satisfeito.","Linda, veste perfeitamente no corpo!.",+100,,0.9629629629629631,0.0014323490524460116,,,436,24,3,100.0,0.009095043201455207,0.0009095043201455207
7,Roupa Apicultor Tirar Abelha Mel Sr Premium Antiferroada,4.5,11.0,,sr apicultura,poliamida,Sem gênero,não definido,Um dos melhores macacões que já comprei em 18 anos de apicultura.,Muito bom excelente.,Ótimo produto.,+50,460.9,0.8148148148148148,0.0011018069634200088,,0.7674022031990724,731,116,1,50.0,0.0050022737608003635,0.019554342883128694
8,Calça Levis Jeans Masculina Tradicional Elastano C Baixa 514,4.3,52.0,,levi's,algodão e elastano,Masculino,outono/inverno,Etiquetas e adesivos condizem com uma legítima levis mas a qualidade do jeans por ser muito fino e o corte das pernas(larga) comparando com uma calça do mesmo n°/modelo comprada em uma loja levis é comprometedor.,"Caimento bom. As etiquetas e impressões na parte interna condizem com as originais. Mas o tecido é mais fino que das levis que tenho. Mas penso que não é original pois olhei as 3 levis legítimas que tenho aqui e encontrei um código de 4 digitos na parte de trás do botão de fechamento da calça. Esse código não existe na calça que comprei aqui. Se for falsificada, paguei caro.",Tenho duvidas se é original. Jeans muito fino. Jeans da levis sempre foi grosso porem macio.,+500,,0.7407407407407406,0.005619215513442045,,,436,31,3,,0.009095043201455207,0.0009095043201455207
9,Kit 3 Calça Masculina Com Lycra Roupas Skinny Justa Premium,4.4,1326.0,,multimarcas,jeans que estica muito,Masculino,primavera/verão,"Boa tarde! as calças totalmente diferente uma da outra. Tecidos diferente. Corte diferente sendo número 40 número pedido. Não veste bem parecendo número 44.
Lamentável! não vou trocar. Ficarei com prejuízo. Mas aprendi uma grande lição. A próxima compra comprarei na loja onde posso experimentar e reclamar na hora e exigir uma melhor qualidade de tecido!.
Esse kit não indico nem para inimigo!.
Gratidão!.","Sinceramente fiquei com receio antes de comprar o produto porém estou surpreso com a qualidade e como vestiu bem. Tenho 1,81 e peso 76kg o número 40 ficou ótimo! podem comprar sem medo, irei recomendar para outras pessoas.","Uso 44 e comprei 46, e como esperado pelos comentários, a cinza ficou perfeito, e as outras duas terei de ajustar a canela na costureira, ficaram largas nas canelas, a qualidade parece ser boa, mas nada que negative minha compra, pelo preço que paguei tá dentro do esperado, resumindo, valeu o preço, apenas fiquem atentos com o tamanho, se não quizer muito agarrado pegue um numero maior que o normal igual eu fiz, mas provavelmente terá de fazer um ajuste na barra.",+10mil,180.15,0.777777777777778,0.14598942265315118,,0.2886497732000955,543,85,7,10000.0,0.01182355616189177,0.002273760800363802
10,Kit Lote 6 Conjunto De Menina Roupa Infantil Feminino,4.5,1796.0,,amandika kids,,Meninas,não definido,"Minha filha veste 8 anos(ate algumas 10 anos). Ela so tem 6, mas e alta e forte.
Comprei de 14 anos(segui as recomendações).
E sinceramente quero ate comprar mais.
Roupa de boa qualidade, pra uso no dia a dia. Os short são de uma material tipo moleton otimosss.
As blusas algumas são muito finas outras como a azul e vermelha de otima qualidade.
Em resumo superou as minhas expectativas.
Ja comprei atacado desses site que oferece no facebook e decepcionei.
Essa roupas aqui foram otimassss.
Parabéns!!.","Eu amei, comprei o tamanho 10, minha filha tem 7 anos 1. 28cm e 23kg.","Conjuntos perfeitos, todos lindos, cores, tecido. Minha dica é comprar 2 ou 3 números maior, pois achei pequenos, minha filha tem 9 anos, pesa 40 kilos, comprei tamanho 14 e ficou exatos, vai perder rápido, mais pelo preço vale muito apena, pois o material é bom é as cores e detalhes são lindos.",+10mil,139.9,0.8148148148148148,0.1977743499338916,,0.22001295999454318,30,178,1,10000.0,0.0031832651205093224,
11,Calça Jogger Masculina Jeans Sarja Premium Elástico Lycra,4.5,11.0,,gbgsports,sarja,Masculino,outono/inverno,"Top. Tô gostando, muito bom mesmo.","Muita sobras de fios, baixa qualidade nas costuras!.",,+100,48.9,0.8148148148148148,0.0011018069634200088,,0.06483407796459875,324,138,3,100.0,0.005911778080945885,0.015461573442473852
12,Roupa Infantil Social Menino  Bebê Batizado Festa Casamento,4.8,421.0,6.0,poderoso baby moda acessórios,,Bebês,não definido,"Lindo, perfeito gostaria muito aue aqui tivesse a opcao de postar foto pra vcs terem a noção do quanto meu bebê ficou perfeito com essa roupinha.
Amei cada detalhe tudo é perfeito.","Ele tem 6 meses e a roupa de 1 ano ficou certinha, mas ele é gordinho, a blusa ficou a conta, não vai conseguir usar mais após a lavagem.",Ficou perfeito.,+1000,136.59,0.9259259259259259,0.046275892463640375,0.01639344262295081,0.21436854131850894,615,178,1,1000.0,0.004547521600727604,
